Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,296-TPSM863252RDXRCT-ND,TPSM863252RDXR,Texas Instruments,3-V TO 17-V INPUT VOLTAGE 3-A E,,10,0,$2.01900,$20.19
2,311-10.0KHRCT-ND,RC0603FR-0710KL,YAGEO,RES 10K OHM 1% 1/10W 0603,,100,0,$0.01220,$1.22
3,160-1447-1-ND,LTST-C191KRKT,Lite-On Inc.,LED RED CLEAR SMD,,100,0,$0.04740,$4.74
4,785-1000-1-ND,AO3400A,Alpha & Omega Semiconductor Inc.,MOSFET N-CH 30V 5.7A SOT23-3L,,5,0,$0.52000,$2.60
5,311-4.7KGRCT-ND,RC0603JR-074K7L,YAGEO,RES 4.7K OHM 5% 1/10W 0603,,100,0,$0.01080,$1.08
6,EG5470CT-ND,TL3342F260QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,,10,0,$0.50600,$5.06
7,311-28.7KHRCT-ND,RC0603FR-0728K7L,YAGEO,RES 28.7K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
8,311-5.10KHRCT-ND,RC0603FR-075K1L,YAGEO,RES 5.1K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
9,1965-ESP32-S3-WROOM-1U-N8R8CT-ND,ESP32-S3-WROOM-1U-N8R8,Espressif Systems,RF TXRX MOD BT WIFIU.FL SMD,,3,0,$6.32000,$18.96
10,2073-USB4105-GF-ACT-ND,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 16P SMD RA,,5,0,$0.80000,$4.00
11,311-30.0KHRCT-ND,RC0603FR-0730KL,YAGEO,RES 30K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
12,311-1.00KHRCT-ND,RC0603FR-071KL,YAGEO,RES 1K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
13,311-2.20KHRCT-ND,RC0603FR-072K2L,YAGEO,RES 2.2K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
14,311-220KHRCT-ND,RC0603FR-07220KL,YAGEO,RES 220K OHM 1% 1/10W 0603,,10,0,$0.02500,$0.25
15,13-RT0603BRD07135KLCT-ND,RT0603BRD07135KL,YAGEO,RES SMD 135K OHM 0.1% 1/10W 0603,,10,0,$0.06700,$0.67
16,1276-1023-1-ND,CL10C220JB8NNNC,Samsung Electro-Mechanics,CAP CER 22PF 50V C0G/NP0 0603,,10,0,$0.03800,$0.38
17,1276-1274-1-ND,CL10A226MP8NUNE,Samsung Electro-Mechanics,CAP CER 22UF 10V X5R 0603,,10,0,$0.08900,$0.89
18,1276-1019-1-ND,CL10B105KO8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 16V X7R 0603,,10,0,$0.03700,$0.37
19,1276-1000-1-ND,CL10B104KB8NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0603,,100,0,$0.01530,$1.53
20,1276-1009-1-ND,CL10B103KB8NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 50V X7R 0603,,10,0,$0.02500,$0.25
21,2223-CPT-9019A-SMT-TRCT-ND,CPT-9019A-SMT-TR,Same Sky (Formerly CUI Devices),BUZZER PIEZO 3V 9X9MM W SMD,,3,0,$1.06000,$3.18
22,296-ESDS314DBVRCT-ND,ESDS314DBVR,Texas Instruments,TVS DIODE 3.6VWM 6.5VC SOT23-5,,10,0,$0.67600,$6.76
23,1276-1096-1-ND,CL21A106KOQNNNE,Samsung Electro-Mechanics,CAP CER 10UF 16V X5R 0805,,10,0,$0.06100,$0.61
24,445-8046-1-ND,C3216X5R1E336M160AC,TDK,CAP CER 33UF 25V X5R 1206,,10,0,$0.76600,$7.66
25,311-100KHRCT-ND,RC0603FR-07100KL,YAGEO,RES 100K OHM 1% 1/10W 0603,,100,0,$0.01220,$1.22
26,399-A750EQ477M1CAAE015-ND,A750EQ477M1CAAE015,KEMET,CAP ALUM POLY 470UF 20% 16V TH,,10,0,$0.37000,$3.70
,,,,,,,,Subtotal,$86.57
