Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,119.6,-67.4,180.0,top
C1,10u,C_0805_2012Metric,95.5,-84.75,90.0,top
C10,33u,C_0805_2012Metric,141.0,-100.75,-90.0,top
C12,1u,C_0805_2012Metric,132.25,-74.25,-90.0,top
C13,100n,C_0805_2012Metric,136.0,-66.75,180.0,top
C14,1u,C_0805_2012Metric,136.0,-71.25,180.0,top
C2,100n,C_0805_2012Metric,100.5,-84.75,90.0,top
C3,10n,C_0805_2012Metric,110.5,-89.0,-90.0,top
C4,22p,C_0805_2012Metric,120.5,-88.75,90.0,top
C5,33u,C_0805_2012Metric,130.5,-88.5,90.0,top
C6,10u,C_0805_2012Metric,111.0,-96.95,-90.0,top
C7,100n,C_0805_2012Metric,116.0,-95.0,-90.0,top
C8,10n,C_0805_2012Metric,125.0,-97.25,-90.0,top
C9,22p,C_0805_2012Metric,136.0,-97.025,90.0,top
D1,BATT_STAT,LED_0805_2012Metric,105.75,-99.475,90.0,top
D2,LED,LED_0805_2012Metric,135.5,-88.0,-90.0,top
D3,5V_STAT,LED_0805_2012Metric,146.0,-91.5,-90.0,top
ENABLE1,SW_Push,SW_SPST_TL3342,129.1,-67.5,180.0,top
H1,MH,MountingHole_2.2mm_M2,95.5,-65.5,180.0,top
H2,MH,MountingHole_2.2mm_M2,115.75,-100.25,180.0,top
H3,MH,MountingHole_2.2mm_M2,158.0,-64.5,0.0,top
H4,MH,MountingHole_2.2mm_M2,146.5,-100.5,0.0,top
J1,BR Switch,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,98.8,-95.2425,-90.0,top
J2,5V,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,153.95,-97.2575,90.0,top
J3,USB_C,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,155.86,-86.5,90.0,top
J5,BR_DEPTH,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,123.75,-79.725,90.0,top
J6,BR Light,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,113.5,-78.9925,-90.0,top
J7,Batt,AMASS_XT30U-M_1x02_P5.0mm_Vertical,97.5,-75.0,-90.0,top
J8,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,157.795,-72.75,180.0,top
Q1,AO3400A,SOT-23,140.25,-86.0,90.0,top
R1,4k7,R_0805_2012Metric,132.0,-79.25,-90.0,top
R10,5k1,R_0805_2012Metric,148.75,-88.5,0.0,top
R11,5k1,R_0805_2012Metric,148.75,-83.5,0.0,top
R12,10k,R_0805_2012Metric,128.5,-74.5,0.0,top
R13,4k7,R_0805_2012Metric,132.0,-83.5,-90.0,top
R14,2k7,R_0805_2012Metric,105.8625,-93.0125,90.0,top
R15,650,R_0805_2012Metric,135.5,-92.0,90.0,top
R16,1k5,R_0805_2012Metric,146.0,-95.75,90.0,top
R17,10k,R_0805_2012Metric,144.75,-86.0,90.0,top
R2,28k7,R_0805_2012Metric,105.25,-87.25,90.0,top
R3,10k,R_0805_2012Metric,105.25,-82.5,90.0,top
R4,135k,R_0805_2012Metric,125.5,-91.0,90.0,top
R5,30k,R_0805_2012Metric,125.5,-86.5,90.0,top
R6,28k7,R_0805_2012Metric,121.1375,-94.6875,-90.0,top
R7,10k,R_0805_2012Metric,121.1375,-99.6875,-90.0,top
R8,220k,R_0805_2012Metric,141.0,-97.0,90.0,top
R9,30k,R_0805_2012Metric,140.8625,-93.0625,90.0,top
U1,TPSM863252,TPSM86325x_RDX0007A,115.5875,-88.85,0.0,top
U2,TPSM863252,TPSM86325x_RDX0007A,131.05,-97.3625,0.0,top
U3,ESP32-S3-MINI-1U,ESP32-S2-MINI-1U,146.5,-71.65,0.0,top
